action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,340560,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC2CCCC2)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL351245,,CHEMBL351245,,0,http://www.openphacts.org/units/Nanomolar,323874,=,1,1,=,,IC50,nM,,102000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,102.0
,,340562,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL160504,,CHEMBL160504,,0,http://www.openphacts.org/units/Nanomolar,323870,=,1,1,=,,IC50,nM,,153000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,153.0
,,340566,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N=C2Sc3ccccc3N2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL450574,,CHEMBL450574,,0,http://www.openphacts.org/units/Nanomolar,323868,=,1,1,=,,IC50,nM,,467000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,467.0
,,341743,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)CN1C(=O)C(C(C)C)C(=O)[n+]2c1sc1ccccc12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL164488,,CHEMBL164488,,0,http://www.openphacts.org/units/Nanomolar,323863,=,1,1,=,,IC50,nM,,189000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,189.0
,,341745,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC2CC2)c2sc3cc(OC)ccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL165827,,CHEMBL165827,,0,http://www.openphacts.org/units/Nanomolar,323865,=,1,1,=,,IC50,nM,,109000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,109.0
,,341747,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCOc1ccc2c(c1)sc1[n+]2C(=O)C(CC)C(=O)N1CC1CCCCC1,,,CHEMBL1121649,J Med Chem,1981,"{'bei': '13.15', 'le': '0.26', 'lle': '0.92', 'sei': '10.09'}",CHEMBL166121,,CHEMBL166121,5.10,0,http://www.openphacts.org/units/Nanomolar,323872,=,1,1,=,,IC50,nM,,8000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,8.0
,,344107,[],CHEMBL764354,Inhibition of cAMP phosphodiesterase in bovine heart,B,,,BAO_0000190,BAO_0000224,protein format,CCCC1C(=O)N(CC(C)C)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121649,J Med Chem,1981,,CHEMBL166322,,CHEMBL166322,,0,http://www.openphacts.org/units/Nanomolar,323879,=,1,1,=,,IC50,nM,,231000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,231.0
,,674340,[],CHEMBL764352,Inhibition of bovine heart cAMP-phosphodiesterase with ethanol,B,,,BAO_0000190,BAO_0000224,protein format,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL190,THEOPHYLLINE,CHEMBL190,,0,http://www.openphacts.org/units/Nanomolar,311681,=,1,1,=,,IC50,nM,,286000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,286.0
,,674341,[],CHEMBL764353,Inhibition of bovine heart cAMP-phosphodiesterase without ethanol,B,,,BAO_0000190,BAO_0000224,protein format,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL190,THEOPHYLLINE,CHEMBL190,,0,http://www.openphacts.org/units/Nanomolar,311681,=,1,1,=,,IC50,nM,,412000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,412.0
,,675720,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCC1C(=O)N(CC)c2sc3ccccc3[n+]2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL160504,,CHEMBL160504,,1,http://www.openphacts.org/units/Nanomolar,311684,=,1,1,=,,IC50,nM,,153000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,153.0
,,679445,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,CCN1C(=O)C(C)C(=O)[n+]2nc(C)sc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL347017,,CHEMBL347017,,0,http://www.openphacts.org/units/Nanomolar,311676,=,1,1,=,,IC50,nM,,2453000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,2453.0
,,680762,[],CHEMBL763739,In vitro inhibition of bovine heart phosphodiesterase (PDE I),B,,,BAO_0000190,BAO_0000224,protein format,O=C1CC(=O)[n+]2ccsc2N1Cc1cccc(Cl)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1121872,J Med Chem,1981,,CHEMBL422889,,CHEMBL422889,,0,http://www.openphacts.org/units/Nanomolar,311688,=,1,1,=,,IC50,nM,,308000.0,CHEMBL2111408,Bos taurus,Heart phosphodiesterase,9913,,,I50,uM,UO_0000065,,308.0
